V3	V4	V6	name	time
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259067/MQ220906-102_S102_L001_R1_001.fastq.gz	MQ220906-102_S102_L001_R1_001.fastq.gz	MQ220906102	MQ220906102	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259067/MQ220906-102_S102_L001_R2_001.fastq.gz	MQ220906-102_S102_L001_R2_001.fastq.gz	MQ220906102	MQ220906102	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259068/MQ220906-103_S103_L001_R1_001.fastq.gz	MQ220906-103_S103_L001_R1_001.fastq.gz	MQ220906103	MQ220906103	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259068/MQ220906-103_S103_L001_R2_001.fastq.gz	MQ220906-103_S103_L001_R2_001.fastq.gz	MQ220906103	MQ220906103	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259069/MQ220906-104_S104_L001_R1_001.fastq.gz	MQ220906-104_S104_L001_R1_001.fastq.gz	MQ220906104	MQ220906104	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259069/MQ220906-104_S104_L001_R2_001.fastq.gz	MQ220906-104_S104_L001_R2_001.fastq.gz	MQ220906104	MQ220906104	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259071/MQ220906-106_S106_L001_R1_001.fastq.gz	MQ220906-106_S106_L001_R1_001.fastq.gz	MQ220906106	MQ220906106	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259071/MQ220906-106_S106_L001_R2_001.fastq.gz	MQ220906-106_S106_L001_R2_001.fastq.gz	MQ220906106	MQ220906106	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259072/MQ220906-107_S107_L001_R1_001.fastq.gz	MQ220906-107_S107_L001_R1_001.fastq.gz	MQ220906107	MQ220906107	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259072/MQ220906-107_S107_L001_R2_001.fastq.gz	MQ220906-107_S107_L001_R2_001.fastq.gz	MQ220906107	MQ220906107	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259075/MQ220906-110_S110_L001_R1_001.fastq.gz	MQ220906-110_S110_L001_R1_001.fastq.gz	MQ220906110	MQ220906110	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259075/MQ220906-110_S110_L001_R2_001.fastq.gz	MQ220906-110_S110_L001_R2_001.fastq.gz	MQ220906110	MQ220906110	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259076/MQ220906-111_S111_L001_R1_001.fastq.gz	MQ220906-111_S111_L001_R1_001.fastq.gz	MQ220906111	MQ220906111	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259076/MQ220906-111_S111_L001_R2_001.fastq.gz	MQ220906-111_S111_L001_R2_001.fastq.gz	MQ220906111	MQ220906111	T2
